iter	Passed	Remaining
672	2596	1261
673	2600	1257
674	2603	1253
675	2606	1249
676	2610	1245
677	2613	1241
678	2617	1237
679	2620	1233
680	2623	1229
681	2626	1224
682	2630	1220
683	2633	1216
684	2636	1212
685	2639	1208
686	2643	1204
687	2647	1200
688	2650	1196
689	2653	1192
690	2657	1188
691	2660	1184
692	2664	1180
693	2667	1175
694	2670	1172
695	2674	1168
696	2678	1164
697	2681	1160
698	2684	1156
699	2688	1152
700	2691	1148
701	2694	1143
702	2698	1139
703	2701	1135
704	2705	1131
705	2708	1127
706	2712	1123
707	2715	1119
708	2719	1116
709	2723	1112
710	2726	1108
711	2730	1104
712	2734	1100
713	2738	1096
714	2742	1093
715	2746	1089
716	2749	1085
717	2753	1081
718	2756	1077
719	2760	1073
720	2763	1069
721	2767	1065
722	2771	1061
723	2774	1057
724	2778	1053
725	2782	1050
726	2786	1046
727	2790	1042
728	2794	1038
729	2798	1034
730	2802	1031
731	2805	1027
732	2808	1023
733	2812	1019
734	2816	1015
735	2820	1011
736	2824	1007
737	2828	1003
738	2832	1000
739	2836	996
740	2839	992
741	2843	988
742	2846	984
743	2850	980
744	2854	977
745	2858	973
746	2862	969
747	2866	965
748	2870	961
749	2873	957
750	2877	954
751	2881	950
752	2885	946
753	2889	942
754	2893	938
755	2896	934
756	2900	930
757	2903	926
758	2907	923
759	2910	919
760	2914	915
761	2918	911
762	2922	907
763	2925	903
764	2929	900
765	2933	896
766	2937	892
767	2940	888
768	2944	884
769	2947	880
770	2951	876
771	2954	872
772	2958	868
773	2961	864
774	2965	861
775	2969	857
776	2972	853
777	2975	849
778	2980	845
779	2984	841
780	2988	837
781	2991	834
782	2995	830
783	2999	826
784	3002	822
785	3006	818
786	3009	814
787	3013	810
788	3016	806
789	3020	802
790	3023	798
791	3027	795
792	3030	791
793	3033	787
794	3037	783
795	3040	779
796	3044	775
797	3047	771
798	3050	767
799	3054	763
800	3058	759
801	3061	755
802	3065	751
803	3068	748
804	3073	744
805	3076	740
806	3080	736
807	3083	732
808	3087	728
809	3090	724
810	3094	721
811	3097	717
812	3101	713
813	3104	709
814	3108	705
815	3111	701
816	3115	697
817	3118	693
818	3122	689
819	3125	686
820	3128	682
821	3132	678
822	3135	674
823	3139	670
824	3142	666
825	3145	662
826	3149	658
827	3152	654
828	3155	650
829	3159	647
830	3162	643
831	3165	639
832	3168	635
833	3172	631
834	3175	627
835	3179	623
836	3182	619
837	3185	615
838	3189	612
839	3193	608
840	3196	604
841	3199	600
842	3203	596
843	3206	592
844	3210	588
845	3213	585
846	3217	581
847	3220	577
848	3224	573
849	3228	569
850	3231	565
851	3234	561
852	3238	558
853	3241	554
854	3245	550
855	3249	546
856	3254	542
857	3257	539
858	3260	535
859	3264	531
860	3268	527
861	3271	523
862	3274	519
863	3278	516
864	3281	512
865	3285	508
866	3288	504
867	3292	500
868	3296	496
869	3299	493
870	3303	489
871	3307	485
872	3311	481
873	3315	477
874	3318	474
875	3321	470
876	3325	466
877	3329	462
878	3332	458
879	3335	454
880	3339	451
881	3342	447
882	3346	443
883	3349	439
884	3353	435
885	3356	431
886	3360	428
887	3363	424
888	3367	420
889	3370	416
890	3374	412
891	3378	409
892	3381	405
893	3385	401
894	3388	397
895	3392	393
896	3395	389
897	3399	386
898	3404	382
899	3408	378
900	3412	374
901	3415	371
902	3419	367
903	3423	363
904	3426	359
905	3429	355
906	3433	352
907	3437	348
908	3440	344
909	3443	340
910	3447	336
911	3450	332
912	3453	329
913	3457	325
914	3460	321
915	3464	317
916	3467	313
917	3471	310
918	3474	306
919	3477	302
920	3481	298
921	3484	294
922	3487	290
923	3490	287
924	3494	283
925	3498	279
926	3501	275
927	3505	271
928	3508	268
929	3511	264
930	3515	260
931	3518	256
932	3521	252
933	3525	249
934	3528	245
935	3532	241
936	3536	237
937	3539	233
938	3542	230
939	3546	226
940	3549	222
941	3552	218
942	3556	214
943	3559	211
944	3562	207
945	3566	203
946	3570	199
947	3574	196
948	3577	192
949	3581	188
950	3584	184
951	3588	180
952	3591	177
953	3595	173
954	3599	169
955	3602	165
956	3606	162
957	3609	158
958	3612	154
959	3616	150
960	3620	146
961	3623	143
962	3626	139
963	3629	135
964	3633	131
965	3637	128
966	3640	124
967	3644	120
968	3647	116
969	3651	112
970	3654	109
971	3657	105
972	3661	101
973	3665	97
974	3669	94
975	3672	90
976	3675	86
977	3679	82
978	3683	79
979	3686	75
980	3689	71
981	3693	67
982	3697	63
983	3700	60
984	3704	56
985	3709	52
986	3712	48
987	3716	45
988	3719	41
989	3723	37
990	3727	33
991	3731	30
992	3735	26
993	3740	22
994	3743	18
995	3747	15
996	3750	11
997	3754	7
998	3758	3
999	3762	0
